rank,team,Pts,GF,GA,Shoot_Rate,Possession
1,Kitakyushu,62,46,25,11.3,53
2,Fujieda,57,40,28,7.4,37
3,Gunma,54,55,33,7.9,41.7
4,Kumamoto,54,43,36,9.9,67.9
5,Toyama,49,47,31,9.1,49.1
6,Tottori,49,47,52,6.2,53.8
7,COsakaU23,46,43,51,6.6,54
8,Akita,45,42,33,8.5,45.9
9,Hachinohe,45,45,37,6.3,40.5
10,Fukushima,43,42,47,3,60.8
11,Nagano,40,31,33,3,39.6
12,GOsakaU－23,35,53,47,7.7,61.2
13,Sanuki,35,31,44,8.3,46.5
14,Sagamihara,34,35,44,3.4,46.2
15,TokyoU23,33,38,47,7.8,59
16,Numazu,33,30,39,5.4,35.3
17,YSYokohama,33,47,63,6.9,68.2
18,Iwate,25,34,59,5.6,40.5
